	ActualOutput	Sentence	sentiment
0	-1	2 .	-1
1	-1	you might think you are saving money by buying an apex but in the long run you will spend more .	-1
2	-1	lot 's of other features that i need to find out about .	-1
3	-1	"then you can say , "" my dissapointment only cost $ 39 . """	-1
4	-1	it is embarassing getting phone calls from family members telling you that the dvd player you gave them less that 3 months ago is no longer working .	-1
5	-1	the one i purchased for a frend as a gift will not read any dvd disc .	-1
6	1	it does n't smell like burning plastic when you open the drive .	-1
7	-1	so far not going to get a good review .	-1
8	-1	after @ 3 months , it stoppped playing higher number scenes on dvds .	-1
9	-1	weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] .	-1
10	-1	had this been my only dvd player , though , it would have been a real problem .	-1
11	-1	it wo n't play 80 % of my movies , which are all store boughten .	-1
12	1	this player has worked flawlessly for me and at this price , you can 't go wrong .	1
13	-1	after having bought and been disappointed in another brand of dvd player , i purchased the apex ad2600 from amazon and first of all i should say it was delivered much more quickly than i had expected .	-1
14	1	it will read and play all cd audio disc .	-1
15	1	no matter the format .	-1
16	-1	i call apex customer service and they told me that there is a known problem with the model playing disney and other movies and that it is not there problem so i 'm stuck with a new dvd player that wo n't play my kids disney movies .	-1
17	-1	picture on web site clearly has the play display pictured , yet false silver plate .	-1
18	-1	while it is true that it will stand on end , it is also easy to knock over that way .	-1
19	1	but , it seems to work so well now , that i do n't anticipate any problems with it .	-1
20	-1	a disipointed customer .	-1
21	-1	bought the apex ad-2600 from amazon in 12/03 mainly on price , $ 49.99 - $ 10 rebate = $ 39.99 .	-1
22	-1	the build quality shows why its so cheap - small scratches on the base plate , something that you would n't see on a sony and an overall plasticky feel	-1
23	1	i liked this one enough to buy another .	-1
24	-1	cleaned the dvd , tried again , no luck .	-1
25	-1	for some reason they made the navigation buttons all one button , a ring around the enter / play button .	-1
26	-1	i might have gotten a lemon , but this is not the first report of video output failure on this machine .	-1
27	1	it plays basically every media i 've tested so far , even an old vcd that i ripped years ago and the rental dvd that could n't be played on my old $ 200 sharp player !	-1
28	-1	i agree with previous posts that you get what you pay for .	-1
29	-1	my next thought was that the dvd must be damaged .	-1
30	-1	i bought this thing because it plays everything .	-1
31	-1	i decided to check one more thing though and plugged in my 3-year - old unit again just to see .	-1
32	-1	so i do n't understand why it would not work with dvds that seem to have more features in them .	-1
33	1	it plays everything , even vcd 's .	-1
34	-1	have had problems since the first day	-1
35	1	the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used .	-1
36	1	of course , i was hesitant given the price , but i 've been extremely impressed since receiving it , and bought a second one as a christmas present for my parents .	-1
37	-1	it really does n't make any cents $ $ to build a great reputation then destroy it from lack a research and testing in one season .	1
38	-1	4 .	-1
39	-1	i paid twenty dollars more than the current price , and even then it was a steal .	-1
40	-1	if this is your fist dvd player .	-1
41	1	well , it was nice while it lasted .	-1
42	-1	i figured with a great first product and with this one having more features than the 600 i would buy one .	1
43	-1	"the only thing i did experience was a problem of the player freezing while playing , which i was able to clear by opening it up and blowing it out with "" canned air . """	-1
44	-1	the downside -	-1
45	-1	there are funny little ridges on the dvd that look like the slice of a tree trunk !	-1
46	1	the picture is perfect , although i 'm not watching on an hdtv .	-1
47	-1	prior to christmas , it seems the reviews were very good but after that it seems the reviews went bad !	-1
48	-1	so , without further adoo .	-1
49	-1	no way to contact their customer service .	-1
50	-1	3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd player froze .	-1
51	1	ability to play most discs - i tried dvd , vcd , dvd-r , audio cd and it played all	-1
52	-1	3 .	-1
53	-1	forget about it .	-1
54	-1	what disappointed me is the fact that it does not seem to read certain dvds .	-1
55	-1	i am returning the broken one today .	-1
56	-1	"hi , many people are saying , "" you get what you pay for , i guess . """	-1
57	-1	and then you will start to belive them .	-1
58	-1	and have returned both .	-1
59	1	the build quality feels solid , it does n't shake or whine while playing discs , and the picture and sound is top notch ( both dts and dd5.1 sound good ) .	1
60	-1	the person i talked to suggested i take the dvd player back and swap it out with another .	-1
61	-1	the button on the remote to switch from pal to ntsc was undoubtedly my problem .	-1
62	1	it works well enough ( so far ) for me to be satisfied with it , and it 's possible that i 'm missing something .	-1
63	-1	what a disappointment !	-1
64	-1	it 's money down the drain .	-1
65	-1	save money on the long run - buy something decent once instead of buying cheap every month .	-1
66	1	i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player .	-1
67	-1	i wish it would do the same for movies , but that 's one rare / cool feature you will have to forgo .	-1
68	-1	any possible problems should be weighed against the bang-for-the-buck factor , along with the fact that companies like apex seldom have good after-sale support .	-1
69	-1	having spent considerable time with professional video gear , i find onscreen displays annoying .	-1
70	-1	take my words and give it a try .	-1
71	-1	comes with standard rca jacks for output , along with s-video output ( s-video cable not included , must be purchased seperately ) and also component video outputs .	-1
72	-1	the entire unit was poorly crafted .	-1
73	-1	very happy !	-1
74	-1	i wish i could give negative stars !	-1
75	-1	the second lasted about two weeks before the video went out !	-1
76	-1	the dvd played without flaw through the chapter in question .	-1
77	-1	i have had great experience with amazon , but i will probably not buy electronics any more from them to avoid any future return problems .	-1
78	-1	the remote is flimsy-feeling and awkward to use .	-1
79	-1	called customer service and basically was told to either keep buying univ. remotes to try or buy the replacement remote for $ 23 ( which is almost half of what i paid for the whole player ) .	-1
80	-1	by pressing p/n , you should be able to get a good picture on the screen .	-1
81	-1	that makes sense though , with all the substandard products they make .	-1
82	-1	one of the dvd 's i received as a christmas present kept freezing .	-1
83	-1	let 's face it - when you want to watch a movie you want to see a picture .	-1
84	1	nothing has broken on it , and it plays all the dvds i have .	-1
85	-1	pass this player up , and never believe the reviews on a product right before christmas !	-1
86	1	i find the apex ad-2600 to be a great buy .	-1
87	-1	i try navigating using the player 's built in menu , and it still would n't work !	-1
88	1	there were a few attractive features , such as the small size and the layout of the remote .	1
89	-1	i dare you to surf the net and find the code .	-1
90	-1	hopefully you wo n't regret .	-1
91	-1	it only read the dvds 10 % of the time , otherwise i would get a no disc screen .	-1
92	-1	( i guess only time will tell ? )	-1
93	-1	the p/n button switches your dvd players video output signal between pal and ntsc .	-1
94	-1	bad :	-1
95	-1	some dvd 's i rented would not play .	-1
96	-1	one bad thing though , i find the remote-control a bit flimsy and i predict it will most probably ' die ' before the player does .	-1
97	-1	new cds almost always began skipping after a few plays .	-1
98	1	i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd , but it also was able to play vob files which i created with smart ripper .	-1
99	-1	wo n't play a lot of discs .	-1
100	1	i find this to be a great feature .	-1
101	-1	i purchased the apex 2600 after reading good reviews of it , both here and in other places .	-1
102	-1	compusa , memorex , fuji .	-1
103	1	received apex dvd and the picture was great when set up with s connector .	1
104	-1	what a mistake !	-1
105	1	have used it frequently and have had no problems .	-1
106	-1	forget about the sleek looks if it can 't play some of your real dvds.	1
107	-1	it plays all my back-ups , + or - , and everything else i have put in it without a hick up .	-1
108	-1	there was occasionally a lip-sync issue ( the lips were n't moving in time to the dialogue ) .	-1
109	-1	purchased the ad-2600 about a month ago and have had numerous problems with it .	-1
110	-1	3 ) you must press the play button and hold it for a couple of seconds otherwise it will not work and you will think the whole unit is broken .	-1
111	-1	the second one was the 2500 which i think is better than the 2600 because it has more features such as karoake which i do use sometimes for parties .	-1
112	-1	i actually had to re-open the drawer and close it to get back to the dvd menu .	-1
113	-1	fair warning - do not buy .	-1
114	-1	i 'd recommend against this unit .	-1
115	-1	my other gripe is the incredibly crappy remote , which is worse than other , cheaper apex units .	-1
116	1	i brought it for my sister in college and she loves it !	-1
117	-1	i received the apex ad-2600 before i expected .	-1
118	-1	small problem .	1
119	1	i tried as bunch of different formats to see if it would play and it did .	-1
120	-1	we ordered two apex ad-2600 's for our family for christmas - finally decided to join the rest of the world and watch dvd 's - well .	-1
121	1	this has so many capabilities that you 'll always have room for new technologies as they evolve .	-1
122	-1	i 've bought one for the den and will buy a 2nd one for the bedroom .	-1
123	1	apex is the best cheap quality brand for dvd players .	1
124	1	the fact that this model would play jpeg slideshows was a big plus for me as a visual artist , and i discovered by accident ( it is not mentioned anywhere in the literature ) that it will play mpeg1 files on a regular cd-r data disk without vcd formatting .	-1
125	-1	i will never buy another apex digital product !	-1
126	-1	one also exhibited extremely slow speed when going to the menu .	-1
127	-1	if you dont get video back , now you can run the player over with your car !	-1
128	-1	i was so excited about the price and reviews of this dvd player .	-1
129	-1	mine was 2 weeks old and i chucked it in the trash , where it belongs .	-1
130	-1	so now it still plays everything , you just can 't see it !	-1
131	-1	it sends discoutinous signals to tv , so the tv has the pictures for one moment and has only the white noise for the other moment .	-1
132	-1	finally you will read a post somewhere that all codes are useless for the apex 2600 .	-1
133	-1	still no response .	-1
134	1	i bought mine in december of 2003 , and have had no real problems with it .	-1
135	-1	though we were past the deadline for returns ( by a few days ) , i contacted amazon right away and pleaded for help .	-1
136	-1	the remote is okay , but i am not a fan of remotes with tiny buttons .	-1
